name,host_name,neighbourhood,room_type,price_per_night,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,bathrooms,bedrooms,host_response_rate,review_scores_value,host_response_time
HARBORSIDE-Walk to subway,Frank,East Boston,Entire home/apt,125,29,26,0.21,1,262,1,1.0,1,75,4.88,within a day
** Fort Hill Inn Private! Minutes to center!**,Terry,Roxbury,Entire home/apt,142,3,137,0.69,11,103,13,1.0,1,100,4.77,within an hour
"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",Terry,Roxbury,Entire home/apt,171,3,139,0.72,11,93,11,1.0,0,100,4.72,within an hour
Curved Glass Studio/1bd facing Park,Anne,Beacon Hill,Entire home/apt,140,91,29,0.22,8,210,0,1.0,1,70,4.59,within a day
Bostons Best Rentals -Studio Prestigious Back Bay,Michelle,Back Bay,Entire home/apt,152,91,9,0.08,12,217,0,1.0,0,93,4.67,within a few hours
The Back Bay Nook  -Brownstone in Prestigious Area,Michelle,Back Bay,Entire home/apt,202,32,5,0.07,12,233,0,1.0,0,93,4.8,within a few hours
The Olive & Vine in The North End-Walk to MGH Tuft,Michelle,North End,Entire home/apt,130,32,2,0.11,12,330,1,1.0,0,93,4.0,within a few hours
230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,Lance,Dorchester,Entire home/apt,161,30,52,0.28,58,264,0,1.0,3,87,4.48,within a few hours
Moroccan Decor Suite,Elizabeth,Charlestown,Entire home/apt,272,2,103,0.56,1,77,2,1.0,1,100,4.94,Unknown
Private room & bath - Jamaica Plain,Robert,Jamaica Plain,Private room,90,14,103,0.57,1,235,4,1.5,1,100,4.93,within a day
Garden Studio,Atef,Charlestown,Entire home/apt,100,29,142,0.79,1,239,3,1.0,1,100,4.54,within an hour
"Private Room, shared bath in Victorian House/ 1",Hermina,Dorchester,Private room,86,29,334,1.86,5,362,1,1.5,3,100,4.51,within an hour
Room in geographical heart of Hub,Michelle,Roxbury,Private room,80,29,145,0.82,1,209,0,1.0,1,100,4.63,within a few hours
Bookcase 1bd facing Boston Common,Anne,Beacon Hill,Entire home/apt,100,32,19,0.13,8,170,0,1.0,1,70,4.68,within a day
Corner 1 bed facing Golden Dome,Anne,Downtown,Entire home/apt,135,91,49,0.32,8,261,0,1.0,1,70,4.81,within a day
Waterfall Room: Bunker Hill B&B,Christiane,Charlestown,Private room,140,29,71,0.42,1,365,0,1.0,1,100,4.39,Unknown
Private room in Victorian house,Hermina,Dorchester,Private room,90,3,304,1.75,5,361,4,1.5,0,100,4.42,within an hour
Fort Hill Inn  2 bed Duplex ApT!  Location!,Terry,Roxbury,Entire home/apt,252,3,307,1.82,11,101,32,1.0,2,100,4.67,within an hour
"Great Boston neighborhood , Jamaica Plain",Jill,Jamaica Plain,Private room,68,30,65,0.39,1,262,6,1.0,1,100,4.94,Unknown
Serene Studio in a Perfect Location,Kristina,Jamaica Plain,Entire home/apt,135,3,555,3.33,2,64,53,1.0,1,100,4.81,within an hour
Large bedroom in Victorian House/Room D,Hermina,Dorchester,Private room,57,29,217,1.29,5,319,1,1.5,3,100,4.45,within an hour
Treetop Haven in the City,Maria Elena,Jamaica Plain,Entire home/apt,108,3,322,1.92,1,145,23,1.0,0,100,4.83,within a few hours
BOSTON LUXURY FOR LESS!! NEAR BCEC,Meri,South Boston,Entire home/apt,318,2,523,3.33,1,307,44,1.0,2,100,4.71,within an hour
Your cozy stay in South Boston,Albert,South Boston,Entire home/apt,190,3,71,0.44,1,122,16,1.0,2,100,4.31,within an hour
"Beautiful Townhouse, 2 BR & 2 Bath",Hermina,Dorchester,Entire home/apt,224,29,121,0.75,5,362,1,2.0,2,100,4.34,within an hour
Cozy Room in Beautiful Victorian House /E,Hermina,Dorchester,Private room,51,1,102,0.65,5,286,22,0.5,1,100,4.53,within an hour
"Sweet Little House in JP, Boston",Hilary,Jamaica Plain,Private room,76,5,425,2.69,1,209,23,1.0,1,100,4.84,within an hour
230B4 | The Penthouse Redline | 2BR 1B w/AC | Pvt,Lance,Dorchester,Entire home/apt,113,30,64,0.47,58,265,2,1.0,2,87,4.73,within a few hours
230B3  | The Mayhew Redline | 3BR 1B w/AC | Pvt,Lance,Dorchester,Entire home/apt,153,30,58,0.37,58,252,0,1.0,3,87,4.52,within a few hours
145R1 | The Redlands 1 | 2BR 1BA w/AC | Private,Lance,West Roxbury,Entire home/apt,192,30,0,0.0,58,300,0,1.0,2,87,4.7,within a few hours
25A2 | The Alameda 2 | 2BR 1BA w/AC & WD | Private,Lance,West Roxbury,Entire home/apt,150,30,43,0.43,58,219,0,1.0,3,87,4.44,within a few hours
Houseboat in Boston Harbor,Deborah,Charlestown,Entire home/apt,188,2,127,1.19,3,300,14,1.0,1,100,4.65,within an hour
Getaway in Historic Charlestown,Joe,Charlestown,Entire home/apt,175,3,191,1.22,1,2,7,1.0,1,100,4.74,within an hour
1 Bed in Charming Southie Townhouse near BCEC,Ingrid,South Boston,Private room,213,2,8,0.07,1,106,0,1.0,1,100,4.75,within a day
Boston / Charlestown Apartment,Gerard Anthony,Charlestown,Entire home/apt,208,2,503,3.26,1,168,45,1.0,1,100,4.85,within an hour
Unique Find: At Home in the City!,Margaret,Jamaica Plain,Entire home/apt,690,3,90,0.6,2,273,10,2.5,4,100,4.54,within an hour
"Private room for 1 person, separate private bath",Lisa,Jamaica Plain,Private room,104,2,312,2.13,1,237,34,1.0,1,100,4.83,within an hour
6 miles away from downtown Boston!,Sami,Roslindale,Private room,55,91,141,1.18,1,365,0,1.0,1,100,4.85,Unknown
Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,Terry,Roxbury,Entire home/apt,162,3,74,0.48,11,89,4,1.0,0,100,4.78,within an hour
"Modern Loft, 1700 SqFt. Location!",Kelly & Chris,Downtown,Entire home/apt,444,2,226,1.52,2,307,57,2.0,1,100,4.85,within an hour
"Perfect & Practical Boston Rental (1,500+ sqft)",Damon,Roslindale,Entire home/apt,320,5,111,0.8,2,153,11,2.0,3,100,4.76,within an hour
Gorgeous Water Frt North End Studio,Paolo,North End,Entire home/apt,95,29,615,4.12,1,286,3,1.0,1,90,4.72,within a few hours
Private room in house,Jennifer,Roslindale,Private room,82,29,66,0.46,2,291,3,1.5,1,100,4.88,within an hour
Convenient Boston Hotel Alternative,Damon,West Roxbury,Entire home/apt,137,4,108,0.75,2,153,11,1.0,1,100,4.87,within an hour
Best Location Luxury Beacon Hill North End Condo,Le,Downtown,Private room,180,91,61,0.43,1,365,0,1.0,1,100,4.66,within an hour
"The Dalton - The Upton Boston, South End",Laura And Olivia,South End,Entire home/apt,230,2,91,0.63,7,157,10,1.0,0,100,4.56,within an hour
Cozy JP Studio-Great Location!,Kristina,Jamaica Plain,Entire home/apt,129,3,399,2.71,2,89,47,1.0,1,100,4.81,within an hour
ExclusiveBackBayBostonCtr-EntireFloorBrick townhse,Irene,Back Bay,Private room,204,29,117,0.8,1,364,0,1.0,1,100,4.6,Unknown
Duplex Penthouse in Longwood Area,Anne,Mission Hill,Entire home/apt,135,91,31,0.21,8,174,0,2.0,1,70,4.72,within a day
4 bedroom Victorian Condo unit,Lita,Jamaica Plain,Entire home/apt,442,2,95,0.66,1,254,2,2.0,4,100,4.61,within an hour
"North End 3BR Condo - Spacious, Central  Location",Patricia,North End,Entire home/apt,515,2,189,1.29,1,231,36,1.0,3,100,4.65,within an hour
"The Washington - The Upton Boston, South End",Laura And Olivia,South End,Entire home/apt,309,2,118,0.82,7,165,10,1.0,1,100,4.58,within an hour
